12203,"Alert Bay, BC ***Canada ***"
8525,"Algoma, ONT ***Canada ***"
13400,All Other Canada Atlantic Region Ports ***Canada ***
9000,All Other Canada Great Lakes Region Ports ***Canada ***
12200,All Other Canada Pacific Region Ports ***Canada ***
15298,All Other Labrador Ports ***Canada ***
15200,All Other Newfoundland Ports ***Canada ***
3504,"Amherstburg, ONT ***Canada ***"
15213,"Argentia, NFLD ***Canada ***"
13846,"Auld’s Cove, NS ***Canada ***"
13400,"Back Bay, NB ***Canada ***"
13855,"Baddeck, CBI ***Canada ***"
15298,"Baffin Island, NFLD ***Canada ***"
13481,"Baie Comeau, QUE ***Canada ***"
1653,"Bath, ONT ***Canada ***"
13458,"Bathurst, NB ***Canada ***"
15205,"Bay Roberts, NFLD ***Canada ***"
13459,"Bayside, NB ***Canada ***"
12215,"Beale Cove, BC ***Canada ***"
1806,"Beauharnoi, QUE ***Canada ***"
13435,"Beaver Harbour, NB ***Canada ***"
13441,"Becancour, QUE ***Canada ***"
12216,"Bella Coola, BC ***Canada ***"
13442,"Belledune, NB ***Canada ***"
13450,"Blacks Harbor, NB ***Canada ***"
13400,"Bliss Harbor, NB ***Canada ***"
12214,"Blubber Bay, BC ***Canada ***"
13829,"Boca Sec, NB ***Canada ***"
15200,"Bonavista, NFLD ***Canada ***"
15214,"Botwood, NFLD ***Canada ***"
9665,"Bowmanville, ONT ***Canada ***"
9000,"Bridgeburg, ONT ***Canada ***"
13400,"Bridgetown, NS ***Canada ***"
13850,"Bridgewater, NS ***Canada ***"
1528,"Britt, ONT ***Canada ***"
1694,"Brockville, ONT ***Canada ***"
8526,"Bruce Mine, ONT ***Canada ***"
15201,"Bull Arm, NFLD ***Canada ***"
15200,"Burgeo, NFLD ***Canada ***"
12495,"Burnaby, BC ***Canada ***"
12200,"Butedale, BC ***Canada ***"
13410,"Cacouna, QUE ***Canada ***"
12207,"Campbell River, BC ***Canada ***"
13444,"Campbellton, NB ***Canada ***"
13445,"Campobello, NB ***Canada ***"
12213,"Cape Beale, BC ***Canada ***"
15206,"Carbonear, NFLD ***Canada ***"
1705,"Cardinal, ONT ***Canada ***"
2641,"Cayuga, ONT ***Canada ***"
13445,"Chance Harbor, NB ***Canada ***"
13466,"Chandler, QUE ***Canada ***"
14471,"Charlottetown, PEI ***Canada ***"
13460,"Chatham, NB ***Canada ***"
12229,"Chemainus, BC ***Canada ***"
13473,"Chicoutimi, QUE ***Canada ***"
14001,"Churchill, MAN ***Canada ***"
15224,"Clarenville, NFLD ***Canada ***"
13476,"Pointe Noire, QUE ***Canada ***"
13451,"Clarke Harbour, NS ***Canada ***"
13451,"Clarke's Harbour, NS ***Canada ***"
1527,"Clarkson, ONT ***Canada ***"
15226,"Coley’s Point, NFLD ***Canada ***"
13481,"Comeau Bay, QUE ***Canada ***"
15229,"Come-by-Chance, NFLD ***Canada ***"
15220,"Conception Bay, NFLD ***Canada ***"
13482,"Contrecoeur, QUE ***Canada ***"
15231,"Corner Brook, NFLD ***Canada ***"
1784,"Cornwall, ONT ***Canada ***"
5517,"Corunna, ONT ***Canada ***"
5515,"Courtright, ONT ***Canada ***"
12231,"Cowichan Bay, BC ***Canada ***"
12234,"Crofton, BC ***Canada ***"
13484,"Dalhousie, NB ***Canada ***"
13485,"Dartmouth, NS ***Canada ***"
13400,"Deadmans Harbour, NB ***Canada ***"
13475,"Deer Island, BC ***Canada ***"
12496,"Delta, BC ***Canada ***"
6695,"Depot Harbor, ONT ***Canada ***"
13420,"Digby, NS ***Canada ***"
13400,"Dipper Harbor, NB ***Canada ***"
13493,"Donnacona, QUE ***Canada ***"
12246,"Duncan Bay, BC ***Canada ***"
12200,"Dundas Island, BC ***Canada ***"
2645,"Dunnville, ONT ***Canada ***"
15223,"Earls Island, NFLD ***Canada ***"
12237,"Elk Falls, BC ***Canada ***"
15207,"Englee Harbor, NFLD ***Canada ***"
12200,"Esquimalt, BC ***Canada ***"
8528,"Fisher Harbour, BC ***Canada ***"
9000,"Fort Frances, ONT ***Canada ***"
9662,"Fort Williams, ONT ***Canada ***"
15208,"Fortune, NFLD ***Canada ***"
13400,"Fox River, QUE ***Canada ***"
12261,"Fraser River, BC ***Canada ***"
15298,"Frobisher Bay, NFLD ***Canada ***"
12494,"Ganges, BC ***Canada ***"
13819,"Gaspe, QUE ***Canada ***"
6533,"Goderich, ONT ***Canada ***"
12275,"Gold River, BC ***Canada ***"
13452,"Gold River, NS ***Canada ***"
12493,"Gooch Island, BC ***Canada ***"
15209,"Grand Bank, NFLD ***Canada ***"
13829,"Grand Harbor, NB ***Canada ***"
13829,"Grand Manan Island, NB ***Canada ***"
9000,"Greenville, ONT ***Canada ***"
13820,"Gros Cacouna, QUE ***Canada ***"
13820,"Groscacouna, QUE ***Canada ***"
13841,"Halifax, NS ***Canada ***"
1520,"Hamilton, ONT ***Canada ***"
13848,"Hantsport, NS ***Canada ***"
15210,"Harbour Breton, NFLD ***Canada ***"
15232,"Harbour Grace, NFLD ***Canada ***"
12407,"Harmac, BC ***Canada ***"
12200,"Hartley, BC; Hartley Bay, BC ***Canada ***"
9669,"Heron Bay, ONT ***Canada ***"
15201,"Hibernia, NFLD ***Canada ***"
12200,"Holsteinborg, BC ***Canada ***"
